task_run_id,task_type,status,priority,cadence,last_run_at,next_run_at,result_summary,inputs_ref,outputs_ref
taskrun_001,JT7_CHAIN,complete,high,multi-daily,2026-04-22T20:54:10.322840-05:00,2026-04-23T08:30:00-05:00,,gmail:31|calendar:10,signals:33|jobs:16|actions:9
taskrun_002,JT7_CHAIN,complete,high,multi-daily,2026-04-22T20:54:56.935840-05:00,2026-04-23T08:30:00-05:00,,gmail:31|calendar:10,signals:0|jobs:16|actions:0
taskrun_003,JT7_CHAIN,complete,high,multi-daily,2026-04-22T20:56:54.086947-05:00,2026-04-23T08:30:00-05:00,,gmail:31|calendar:10,signals:0|jobs:10|actions:0
taskrun_004,JT7_CHAIN,complete,high,multi-daily,2026-04-22T20:58:35.974450-05:00,2026-04-23T08:30:00-05:00,,gmail:31|calendar:10,signals:0|jobs:11|actions:3
taskrun_005,JT7_CHAIN,complete,high,multi-daily,2026-04-22T21:11:05.552268-05:00,2026-04-23T08:30:00-05:00,,gmail:31|calendar:10,signals:0|jobs:11|actions:0
taskrun_006,JT7_CHAIN,complete,high,multi-daily,2026-04-23T09:40:20.307120-05:00,2026-04-23T12:30:00-05:00,,gmail:19|calendar:10,signals:1|jobs:8|actions:0
taskrun_007,JT7_CHAIN,complete,high,multi-daily,2026-04-23T20:52:00.870695-05:00,2026-04-24T08:30:00-05:00,,gmail:17|calendar:10,signals:15|jobs:5|actions:0
taskrun_008,JT7_CHAIN,complete,high,multi-daily,2026-04-23T20:57:49.531290-05:00,2026-04-24T08:30:00-05:00,,gmail:17|calendar:10,signals:0|jobs:5|actions:0
