job_id,company,role,location,status,contact,last_contact_date,next_step,interview_datetime,direct_application_link,job_posting_link,fit_score,source,notes
job_030,Section,Senior Product Designer,,Cold,recruiter_008,2026-04-27 15:45,Review opportunity and decide whether to apply,,,,,linkedin_email,Created from job_alert Gmail signal thread:19dd0b0b68b9e956 | signal_id:signal_077 | signal job_alert from linkedin_email thread:19dd0b0b68b9e956
job_031,DesignMeshAI,UX Design Expert | Remote,,Cold,recruiter_008,2026-04-27 11:45,Review opportunity and decide whether to apply,,,,,linkedin_email,Created from job_alert Gmail signal thread:19dcfd500c48ffed | signal_id:signal_085 | signal job_alert from linkedin_email thread:19dcfd500c48ffed
job_032,edZOOcation,Web Manager (E-commerce & Conversion),,Cold,recruiter_035,2026-04-27 7:25,Review opportunity and decide whether to apply,,,,,indeed_email,Created from job_alert Gmail signal thread:19dcee72e1e0603d | signal_id:signal_093
job_033,BetterSleep™,"Senior Product Designer, Core Experience",,Cold,recruiter_008,2026-04-26 17:45,Review opportunity and decide whether to apply,,,,,linkedin_email,Created from job_alert Gmail signal thread:19dcbf82d45591cf | signal_id:signal_094
job_034,PubliMarketing,Asistente de Print Shop / Diseñador/a Gráfico (Part-Time) – Print Shop,,Cold,recruiter_035,2026-04-26 16:25,Review opportunity and decide whether to apply,,,,,indeed_email,Created from job_alert Gmail signal thread:19dcbaf04883de97 | signal_id:signal_095
job_035,Norwegian Cruise Line Holdings Ltd.,Manager Digital Product Design,,Cold,recruiter_008,2026-04-26 15:45,Review opportunity and decide whether to apply,,,,,linkedin_email,Created from job_alert Gmail signal thread:19dcb8a50a290a5f | signal_id:signal_097
job_036,Owlet Baby Care,Senior Product Designer,,Cold,recruiter_008,2026-04-26 19:45,Review opportunity and decide whether to apply,,,,,linkedin_email,Created from job_alert Gmail signal thread:19dcb1c75bc48bb3 | signal_id:signal_098
job_037,Owlet Baby Care,Senior Product Designer,,Cold,recruiter_008,2026-04-26 13:45,Review opportunity and decide whether to apply,,,,,linkedin_email,Created from job_alert Gmail signal thread:19dcb1c75bc48bb3 | signal_id:signal_099
job_038,Section,Senior Product Designer,,Cold,recruiter_008,2026-04-26 11:45,Review opportunity and decide whether to apply,,,,,linkedin_email,Created from job_alert Gmail signal thread:19dcaaebb26ff42f | signal_id:signal_101
job_039,edZOOcation,Web Manager (E-commerce & Conversion),,Cold,recruiter_035,2026-04-26 8:09,Review opportunity and decide whether to apply,,,,,indeed_email,Created from job_alert Gmail signal thread:19dc9e8fecd051bc | signal_id:signal_103
job_040,PubliMarketing,Asistente de Print Shop / Diseñador/a Gráfico (Part-Time) – Print Shop,,Cold,recruiter_035,2026-04-25 16:37,Review opportunity and decide whether to apply,,,,,indeed_email,Created from job_alert Gmail signal thread:19dc693db33a1d7f | signal_id:signal_105
job_041,Johnson & Johnson,"Global Design Leader, Polyphonic AI Lab",,Cold,recruiter_008,2026-04-25 15:45,Review opportunity and decide whether to apply,,,,,linkedin_email,Created from job_alert Gmail signal thread:19dc663f08b1bb3f | signal_id:signal_106
job_042,BetterSleep™,"Senior Product Designer, Core Experience",,Cold,recruiter_008,2026-04-25 13:45,Review opportunity and decide whether to apply,,,,,linkedin_email,Created from job_alert Gmail signal thread:19dc5f6457cd62a1 | signal_id:signal_108
job_043,Norwegian Cruise Line Holdings Ltd.,Manager Digital Product Design,,Cold,recruiter_008,2026-04-25 11:45,Review opportunity and decide whether to apply,,,,,linkedin_email,Created from job_alert Gmail signal thread:19dc5883c517b66d | signal_id:signal_110
job_044,Sundayy,Product Designer,,Cold,recruiter_008,2026-04-25 17:45,Review opportunity and decide whether to apply,,,,,linkedin_email,Created from job_alert Gmail signal thread:19dc51a9579d1863 | signal_id:signal_112
job_045,Sundayy,Product Designer,,Cold,recruiter_008,2026-04-25 9:45,Review opportunity and decide whether to apply,,,,,linkedin_email,Created from job_alert Gmail signal thread:19dc51a9579d1863 | signal_id:signal_113
job_046,EARP Corp,Web Developer,,Cold,recruiter_035,2026-04-25 8:06,Review opportunity and decide whether to apply,,,,,indeed_email,Created from job_alert Gmail signal thread:19dc4bfc9164ed49 | signal_id:signal_114
